,file,sent_i,sent,ne_info,amr_graph,amr_head_name,amr_tail_name,amr_role,umr_head_name,umr_tail_name,umr_role,amr_head_id,umr_head_id,amr_tail_id,umr_tail_id,y_guess,y_guess_dist,y_pred
78,6,10,"Strong, the son of John Strong Sr. (1798–1881), from Wroxton, Oxfordshire, England, was a first generation American born in a log cabin in Greenfield Township, Michigan, which is now part of Detroit.","[{'PER': 'Strong'}, {'PER': 'John Strong Sr'}, {'LOC': 'Wroxton'}, {'LOC': 'Oxfordshire'}, {'LOC': 'England'}, {'MISC': 'American'}, {'LOC': 'Greenfield Township'}, {'LOC': 'Michigan'}, {'LOC': 'Detroit'}, {'B_human': 'son'}]",DiGraph with 55 nodes and 54 edges,person,country,:mod,person,country,:mod,p2_0,p2_0,c2_22,c2_22,"[':mod', ':other-role']","[0.995, 0.005]",:mod
85,6,21,"<b>Guy Edward Fletcher</b> (born 24 May 1960 in Maidstone, Kent) is an English multi-instrumentalist, best known for his position as the keyboard player in the rock band Dire Straits from 1984 until the group's dissolution, and his subsequent work with Dire Straits frontman Mark Knopfler.","[{'PER': 'Guy Edward Fletcher'}, {'LOC': 'Maidstone'}, {'LOC': 'Kent'}, {'MISC': 'English'}, {'ORG': 'Dire Straits'}, {'ORG': 'Dire Straits'}, {'PER': 'Mark Knopfler'}, {'B_human': 'player'}, {'B_human': 'frontman'}]",DiGraph with 60 nodes and 59 edges,instrumentalist,country,:mod,instrumentalist,country,:mod,i2_0,i2_0,c_20,c_20,"[':mod', ':other-role']","[0.995, 0.005]",:mod
93,6,27,"<i><b>Teheran 43</b></i> is a 1981 USSR-France-Switzerland drama film made by Mosfilm, <i>Mediterraneo Cine</i> and <i>Pro Dis Film</i>, directed by Aleksandr Alov and Vladimir Naumov.","[{'ORG': 'Te'}, {'LOC': 'her'}, {'ORG': 'an'}, {'MISC': 'USSR'}, {'LOC': 'France'}, {'LOC': 'Switzerland'}, {'ORG': 'Mosfilm'}, {'MISC': 'Me'}, {'MISC': 'diterraneo Cine'}, {'ORG': 'Pro Dis Film'}, {'PER': 'Aleksandr Alov'}, {'PER': 'Vladimir Naumov'}]",DiGraph with 50 nodes and 49 edges,film,country,:mod,film,country,:mod,f_0,f_0,c2_12,c_8,"[':mod', ':other-role']","[0.995, 0.005]",:mod
94,6,27,"<i><b>Teheran 43</b></i> is a 1981 USSR-France-Switzerland drama film made by Mosfilm, <i>Mediterraneo Cine</i> and <i>Pro Dis Film</i>, directed by Aleksandr Alov and Vladimir Naumov.","[{'ORG': 'Te'}, {'LOC': 'her'}, {'ORG': 'an'}, {'MISC': 'USSR'}, {'LOC': 'France'}, {'LOC': 'Switzerland'}, {'ORG': 'Mosfilm'}, {'MISC': 'Me'}, {'MISC': 'diterraneo Cine'}, {'ORG': 'Pro Dis Film'}, {'PER': 'Aleksandr Alov'}, {'PER': 'Vladimir Naumov'}]",DiGraph with 50 nodes and 49 edges,film,country,:mod,film,country,:mod,f_0,f_0,c3_16,c_8,"[':mod', ':other-role']","[0.995, 0.005]",:mod
95,6,27,"<i><b>Teheran 43</b></i> is a 1981 USSR-France-Switzerland drama film made by Mosfilm, <i>Mediterraneo Cine</i> and <i>Pro Dis Film</i>, directed by Aleksandr Alov and Vladimir Naumov.","[{'ORG': 'Te'}, {'LOC': 'her'}, {'ORG': 'an'}, {'MISC': 'USSR'}, {'LOC': 'France'}, {'LOC': 'Switzerland'}, {'ORG': 'Mosfilm'}, {'MISC': 'Me'}, {'MISC': 'diterraneo Cine'}, {'ORG': 'Pro Dis Film'}, {'PER': 'Aleksandr Alov'}, {'PER': 'Vladimir Naumov'}]",DiGraph with 50 nodes and 49 edges,film,drama,:mod,film,drama,:mod,f_0,f_0,d2_20,d2_20,"[':mod', ':other-role']","[0.995, 0.005]",:mod
98,6,29,"<b>Trần Đại Quang</b> (born 12 October 1956) is a Vietnamese politician, who is the President of Vietnam, in office since 2 April 2016 and one of the country's top leaders.","[{'PER': 'T'}, {'PER': 'ầ'}, {'PER': 'n Đại Quang'}, {'MISC': 'Vietnamese'}, {'LOC': 'Vietnam'}, {'B_human': 'politician'}, {'B_human': 'leaders'}]",DiGraph with 29 nodes and 28 edges,person,top,:mod,person,top,:mod,p2_14,p2_14,t_17,t_17,"[':mod', ':other-role']","[0.995, 0.005]",:mod
100,6,31,"<b>Karl William Turner</b> (born 15 April 1971) is a British Labour Party politician, who has been the Member of Parliament (MP) for Kingston upon Hull East since 2010.","[{'PER': 'Karl William Turner'}, {'ORG': 'British Labour Party'}, {'LOC': 'Kingston upon Hull East'}, {'B_human': 'politician'}, {'B_human': 'MP'}]",DiGraph with 36 nodes and 35 edges,politician,country,:mod,politician,country,:mod,p4_0,p4_0,c_14,c_14,"[':mod', ':other-role']","[0.995, 0.005]",:mod
112,6,40,"<b>Estradiol</b> (abbreviated as <b>E2</b>), or <b>17β-estradiol</b>, also known as <b>estra-1,3,5(10)-triene-3,17β-diol</b>, is a steroid and estrogen sex hormone, and the primary female sex hormone.",[{'MISC': 'E'}],DiGraph with 13 nodes and 12 edges,hormone,sex,:mod,hormone,sex,:mod,h2_5,h_2,s3_6,s2_3,"[':mod', ':other-role']","[0.995, 0.005]",:mod
113,6,42,<b>BRAF</b> is a human gene that makes a protein called B-Raf.,"[{'MISC': 'BRAF'}, {'MISC': 'B'}]",DiGraph with 11 nodes and 10 edges,gene,human,:mod,gene,human,:mod,g_0,g_0,h_1,h_1,"[':mod', ':other-role']","[0.995, 0.005]",:mod
114,6,43,"The gene is also referred to as <b>proto-oncogene B-Raf</b> and <b>v-Raf murine sarcoma viral oncogene homolog B</b>, while the protein is more formally known as <b>serine/threonine-protein kinase B-Raf</b>.",[{'MISC': 'co'}],DiGraph with 31 nodes and 30 edges,refer-01,also,:mod,refer-01,also,:mod,r_1,r_1,a3_19,a3_19,"[':mod', ':other-role']","[0.995, 0.005]",:mod
123,6,50,<b>State Route 203</b> (<b>SR 203</b>) is a primary state highway in the U.S. state of Virginia.,"[{'MISC': 'State Route 203'}, {'MISC': 'SR 203'}, {'LOC': 'U.S'}, {'LOC': 'Virginia'}, {'PER': 'US'}]",DiGraph with 17 nodes and 16 edges,highway,state,:mod,highway,state,:mod,h_0,h_0,s2_2,s2_2,"[':mod', ':other-role']","[0.995, 0.005]",:mod
130,6,54,<b>Gawade</b> is a Marathi surname.,"[{'PER': 'Gawa'}, {'MISC': 'Marathi'}]",DiGraph with 9 nodes and 8 edges,surname,language,:mod,surname,language,:mod,s_0,s_0,l_1,l_1,"[':mod', ':other-role']","[0.995, 0.005]",:mod
131,6,55,It is spelled as ’गावडे’ in Marathi and some people spell it as Gawde or Gavade or Gavde in English.,"[{'MISC': 'Marathi'}, {'LOC': 'Gawde'}, {'LOC': 'Gavade'}, {'LOC': 'Gavde'}, {'MISC': 'English'}]",DiGraph with 12 nodes and 11 edges,spell-01,language,:mod,spell-01,language,:mod,s2_0,s2_0,l_8,l_8,"[':mod', ':other-role']","[0.995, 0.005]",:mod
138,6,59,He served as both Attorney General and Chancellor of the state of Michigan.,"[{'LOC': 'Michigan'}, {'PER': 'He'}]",DiGraph with 10 nodes and 9 edges,attorney,general,:mod,attorney,general,:mod,a2_3,a2_3,g_4,g_4,"[':mod', ':other-role']","[0.995, 0.005]",:mod
141,6,65,"Licensed to Middleborough Center, Massachusetts, USA, the station serves the Middleborough/Taunton area.","[{'LOC': 'Middleborough Center'}, {'LOC': 'Massachusetts'}, {'LOC': 'USA'}, {'LOC': 'Middleborough'}, {'LOC': 'Taunton'}]",DiGraph with 26 nodes and 25 edges,area,slash,:mod,area,slash,:mod,a_16,a_16,s4_17,s4_17,"[':mod', ':other-role']","[0.995, 0.005]",:mod
143,6,68,"<b>Chewong</b> (Cheq Wong, Ceq Wong) is an aboriginal Mon–Khmer language spoken in Malaya.","[{'PER': 'Ch'}, {'PER': 'Ch'}, {'PER': 'e'}, {'PER': 'q Wong'}, {'PER': 'Ce'}, {'PER': 'q Wong'}, {'MISC': 'Mon–Khmer'}, {'LOC': 'Malaya'}]",DiGraph with 13 nodes and 12 edges,language,aboriginal,:mod,language,aboriginal,:mod,l_0,l_0,a_4,a_4,"[':mod', ':other-role']","[0.995, 0.005]",:mod
148,6,72,"In research it is used to manipulate intracellular release of calcium ions (Ca<sup>2+</sup>) and modify TRP channel activity, although there its lack of specific effects make it less than ideal under some circumstances.",[],DiGraph with 29 nodes and 28 edges,ion,calcium,:mod,ion,calcium,:mod,i3_5,i3_5,c_6,c_6,"[':mod', ':other-role']","[0.995, 0.005]",:mod
149,6,72,"In research it is used to manipulate intracellular release of calcium ions (Ca<sup>2+</sup>) and modify TRP channel activity, although there its lack of specific effects make it less than ideal under some circumstances.",[],DiGraph with 29 nodes and 28 edges,circumstance,some,:mod,circumstance,some,:mod,c2_27,c2_27,s2_28,s2_28,"[':mod', ':other-role']","[0.995, 0.005]",:mod
162,6,86,It elects one Member of Parliament (MP) by the first-past-the-post system of election.,"[{'B_human': 'Member'}, {'B_human': 'MP'}]",DiGraph with 19 nodes and 18 edges,system,thing,:mod,system,thing,:mod,s_10,s_10,t_12,t_12,"[':mod', ':other-role']","[0.995, 0.005]",:mod
169,6,89,<b>Juan Ávalos</b> (born 8 January 1941) is a Spanish former sports shooter.,"[{'PER': 'Juan Ávalos'}, {'MISC': 'Spanish'}, {'B_human': 'shooter'}]",DiGraph with 18 nodes and 17 edges,shoot-01,sport,:mod,shoot-01,sport,:mod,s_2,s_2,s2_3,s2_3,"[':mod', ':other-role']","[0.995, 0.005]",:mod
178,6,102,"<b>Gosnells City Football Club</b> is a football (soccer) club based in Thornlie, Western Australia.","[{'ORG': 'Gosnells City Football Club'}, {'LOC': 'Thornlie'}, {'LOC': 'Western Australia'}]",DiGraph with 19 nodes and 18 edges,club,football,:mod,club,football,:mod,c3_0,c3_0,f_1,f_1,"[':mod', ':other-role']","[0.995, 0.005]",:mod
180,6,104,"<b>Ochamchire</b> or <b>Ochamchira</b> (Georgian: ოჩამჩირე, [ɔtʃʰɑmtʃʰire]; Abkhaz: Очамчыра, <i>Ochamchyra</i>; Russian: Очамчира, <i>Ochamchira</i>) is a seaside city on the Black Sea coast of Abkhazia, Georgia. and a centre of the eponymous district.","[{'LOC': 'Ochamchire'}, {'LOC': 'Ochamchira'}, {'MISC': 'Georgian'}, {'MISC': 'A'}, {'LOC': 'b'}, {'MISC': 'khaz'}, {'LOC': 'О'}, {'LOC': 'Ochamchyra'}, {'MISC': 'Russian'}, {'LOC': 'Оч'}, {'LOC': 'мчир'}, {'LOC': 'Ochamchira'}, {'LOC': 'Black Sea'}, {'LOC': 'A'}, {'LOC': 'bkhazia'}, {'LOC': 'Georgia'}]",DiGraph with 25 nodes and 24 edges,coast,country-region,:mod,coast,country-region,:mod,c5_2,c5_2,c6_8,c6_8,"[':mod', ':other-role']","[0.995, 0.005]",:mod
186,6,109,"These varieties cover the historical region of Transylvania, except several large areas along the edges towards the neighboring dialects.",[{'LOC': 'Transylvania'}],DiGraph with 16 nodes and 15 edges,area,large,:mod,area,large,:mod,a_7,a_7,l_8,l_8,"[':mod', ':other-role']","[0.995, 0.005]",:mod
187,6,109,"These varieties cover the historical region of Transylvania, except several large areas along the edges towards the neighboring dialects.",[{'LOC': 'Transylvania'}],DiGraph with 16 nodes and 15 edges,variety,this,:mod,variety,this,:mod,v_14,v_14,t_15,t_15,"[':mod', ':other-role']","[0.995, 0.005]",:mod
196,6,118,"<b>Jerzy Juliusz Kijowski</b> (b. May 4, 1943 and Lublin) – Polish physicist, Professor of Physical Sciences who specializes in physics, mathematics, classical and quantum field theory, and theory of gravity.","[{'PER': 'Je'}, {'PER': 'rz'}, {'PER': 'y Juliusz Kijo'}, {'LOC': 'Lublin'}, {'MISC': 'Polish'}, {'ORG': 'Physical Sciences'}, {'B_human': 'physicist'}]",DiGraph with 37 nodes and 36 edges,theory,field,:mod,theory,field,:mod,t_29,t_29,f_30,f_30,"[':mod', ':other-role']","[0.995, 0.005]",:mod
201,6,119,"Scientific achievements of Professor Kijowski include the introduction of operator 'transition time' in Quantum mechanics, new interpretation of uncertainty principle for the time and energy, providing a new, completely original variational principle for Einstein equations and the discovery of the affine, variational principle for General Relativity Theory, as well as providing new, original positivity proof for gravitational energy.","[{'PER': 'Ki'}, {'PER': 'jo'}, {'MISC': 'Quantum mechanics'}, {'MISC': 'Einstein'}, {'MISC': 'General Relativity Theory'}, {'B_human': 'operator'}]",DiGraph with 54 nodes and 53 edges,prove-01,positive,:mod,prove-01,positive,:mod,p9_40,p9_40,p10_44,p10_44,"[':mod', ':other-role']","[0.995, 0.005]",:mod
204,6,125,"<b>Malo Luafutu</b>, also called <b>Jeshua Ioane Luafutu</b> (born on 29 May 1979), and better known by his stage name <b>Scribe</b>, is a New Zealand hip hop rapper and recording artist of Samoan descent.","[{'PER': 'Mal'}, {'PER': 'o Luafut'}, {'PER': 'Je'}, {'PER': 'shu'}, {'PER': 'a Ioane Luafutu'}, {'PER': 'Sc'}, {'PER': 'ri'}, {'LOC': 'New Zealand'}, {'MISC': 'Samoan'}, {'B_human': 'rapper'}, {'B_human': 'artist'}]",DiGraph with 26 nodes and 25 edges,person,hip-hop,:mod,person,hip-hop,:mod,p2_1,p2_1,h_2,h_2,"[':mod', ':other-role']","[0.995, 0.005]",:mod
205,6,125,"<b>Malo Luafutu</b>, also called <b>Jeshua Ioane Luafutu</b> (born on 29 May 1979), and better known by his stage name <b>Scribe</b>, is a New Zealand hip hop rapper and recording artist of Samoan descent.","[{'PER': 'Mal'}, {'PER': 'o Luafut'}, {'PER': 'Je'}, {'PER': 'shu'}, {'PER': 'a Ioane Luafutu'}, {'PER': 'Sc'}, {'PER': 'ri'}, {'LOC': 'New Zealand'}, {'MISC': 'Samoan'}, {'B_human': 'rapper'}, {'B_human': 'artist'}]",DiGraph with 26 nodes and 25 edges,person,country,:mod,person,country,:mod,p2_1,p2_1,c_3,c_3,"[':mod', ':other-role']","[0.995, 0.005]",:mod
207,6,134,<b>Eriko Imai</b> (今井 絵理子 <i>Imai Eriko</i>) is a Japanese pop singer.,"[{'PER': 'Eriko Ima'}, {'PER': 'Ima'}, {'PER': 'i Eriko'}, {'MISC': 'Japanese'}, {'B_human': 'singer'}]",DiGraph with 12 nodes and 11 edges,person,country,:mod,person,country,:mod,p_0,p_0,c_3,c_3,"[':mod', ':other-role']","[0.995, 0.005]",:mod
209,6,139,"<b><i>Fusiturricula dolenta</i></b> is a species of sea snail, a marine gastropod mollusk in the family Drilliidae.","[{'MISC': 'Fu'}, {'MISC': 'tur'}, {'MISC': 'Drilliidae'}, {'B_animal': 'snail'}]",DiGraph with 16 nodes and 15 edges,mollusk,gastropod,:mod,mollusk,gastropod,:mod,m_10,m_10,g_11,g_11,"[':mod', ':other-role']","[0.995, 0.005]",:mod
219,6,142,"<b>TAPPI</b> is a registered not-for-profit, international Non-Governmental Organization of about 14,000 member engineers, scientists, managers, academics and others involved in the areas of pulp, and paper.","[{'ORG': 'APPI'}, {'ORG': 'Non-Governmental Organization'}, {'B_human': 'engineers'}, {'B_human': 'scientists'}, {'B_human': 'managers'}, {'B_human': 'academics'}]",DiGraph with 32 nodes and 31 edges,area,pulp,:mod,area,pulp,:mod,a5_21,a5_21,p7_22,p7_22,"[':mod', ':other-role']","[0.995, 0.005]",:mod
224,6,148,"He is known, in particular, for his portraits of East German theatre and movie stars.","[{'MISC': 'East German'}, {'PER': 'He'}]",DiGraph with 15 nodes and 14 edges,know-02,particular,:mod,know-02,particular,:mod,k_0,k_0,p_14,p_14,"[':mod', ':other-role']","[0.995, 0.005]",:mod
227,6,151,<b>Adrian Dietrich Lothar von Trotha</b> (3 July 1848 – 31 March 1920) was a German military commander during the European new colonial era.,"[{'PER': 'Adrian Dietrich Lothar von Trotha'}, {'MISC': 'German'}, {'MISC': 'European'}, {'B_human': 'commander'}]",DiGraph with 31 nodes and 30 edges,military,country,:mod,military,country,:mod,m_18,m_18,c_19,c_19,"[':mod', ':other-role']","[0.995, 0.005]",:mod
228,6,151,<b>Adrian Dietrich Lothar von Trotha</b> (3 July 1848 – 31 March 1920) was a German military commander during the European new colonial era.,"[{'PER': 'Adrian Dietrich Lothar von Trotha'}, {'MISC': 'German'}, {'MISC': 'European'}, {'B_human': 'commander'}]",DiGraph with 31 nodes and 30 edges,era,colony,:mod,era,colony,:mod,e_24,e_24,c4_25,c4_25,"[':mod', ':other-role']","[0.995, 0.005]",:mod
232,6,153,<b><i>Aida</i></b> is a live album of solo acoustic performances by guitarist Derek Bailey which was recorded in Paris and London in 1980 and originally released on the Incus label.,"[{'PER': 'Derek Bailey'}, {'LOC': 'Paris'}, {'LOC': 'London'}, {'ORG': 'Incus'}, {'B_human': 'guitarist'}]",DiGraph with 35 nodes and 34 edges,album,perform-01,:mod,album,perform-01,:mod,a_0,a_0,p_2,p_2,"[':mod', ':other-role']","[0.995, 0.005]",:mod
233,6,153,<b><i>Aida</i></b> is a live album of solo acoustic performances by guitarist Derek Bailey which was recorded in Paris and London in 1980 and originally released on the Incus label.,"[{'PER': 'Derek Bailey'}, {'LOC': 'Paris'}, {'LOC': 'London'}, {'ORG': 'Incus'}, {'B_human': 'guitarist'}]",DiGraph with 35 nodes and 34 edges,perform-01,solo,:mod,perform-01,solo,:mod,p_2,p_2,s_10,s_10,"[':mod', ':other-role']","[0.995, 0.005]",:mod
234,6,153,<b><i>Aida</i></b> is a live album of solo acoustic performances by guitarist Derek Bailey which was recorded in Paris and London in 1980 and originally released on the Incus label.,"[{'PER': 'Derek Bailey'}, {'LOC': 'Paris'}, {'LOC': 'London'}, {'ORG': 'Incus'}, {'B_human': 'guitarist'}]",DiGraph with 35 nodes and 34 edges,perform-01,acoustics,:mod,perform-01,acoustics,:mod,p_2,p_2,a2_11,a2_11,"[':mod', ':other-role']","[0.995, 0.005]",:mod
236,6,154,"The Allmusic review by Brian Olewnick states ""<i>Aida</i> is a remarkably beautiful entry to one of the world's masterful musicians. Indeed, he sounds like no one else"".","[{'PER': 'Brian Olewnick'}, {'PER': 'Aid'}, {'B_human': 'musicians'}, {'PER': 'he'}]",DiGraph with 30 nodes and 29 edges,musician,masterful,:mod,musician,masterful,:mod,m3_19,m3_19,m4_20,m4_20,"[':mod', ':other-role']","[0.995, 0.005]",:mod
245,6,163,"<b><i>Sportske novosti</i> awards</b> (Croatian: <i>Nagrade Sportskih novosti</i>) refer to annual sports awards given by <i>Sportske novosti</i>, a Zagreb-based Croatian daily sports newspaper.","[{'ORG': 'Sportske novosti'}, {'MISC': 'Croatian'}, {'ORG': 'Sportskih no'}, {'ORG': 'Sportske novosti'}, {'MISC': 'Zagreb'}, {'MISC': 'Croatian'}]",DiGraph with 33 nodes and 32 edges,newspaper,country,:mod,newspaper,country,:mod,n2_8,n2_8,c2_23,c2_23,"[':mod', ':other-role']","[0.995, 0.005]",:mod
253,6,173,"<b>Ulupa'U Crater</b> is a cinder cone in the state of Hawaii, where it is located near Marine Corps Base Hawaii.","[{'PER': 'Ulu'}, {'ORG': 'pa'}, {'LOC': ""'U C""}, {'LOC': 'Hawaii'}, {'LOC': 'Marine Corps Base Hawaii'}]",DiGraph with 20 nodes and 19 edges,cone,cinder,:mod,cone,cinder,:mod,c_0,c_0,c2_1,c2_1,"[':mod', ':other-role']","[0.995, 0.005]",:mod
258,6,179,"This zone is named after a subgroup of the Oromo, who inhabit it.",[{'MISC': 'Oromo'}],DiGraph with 12 nodes and 11 edges,person,ethnic-group,:mod,person,ethnic-group,:mod,p_5,p_5,e_6,e_6,"[':mod', ':other-role']","[0.995, 0.005]",:mod
263,6,183,"The <b>Borana Oromo people</b>, also called the <b>Boran</b>, are a subethnic section of the Oromo people who live in southern Ethiopia (Oromia) and northern Kenya.","[{'MISC': 'Borana Oromo'}, {'MISC': 'Boran'}, {'MISC': 'Oromo'}, {'LOC': 'Ethiopia'}, {'LOC': 'Oromia'}, {'LOC': 'Kenya'}]",DiGraph with 28 nodes and 27 edges,section,subethnic,:mod,section,subethnic,:mod,s_0,s_0,s2_1,s2_1,"[':mod', ':other-role']","[0.995, 0.005]",:mod
0,AMR to UMR targerted conversion split roles - Graphs.csv,1,It 's extremely troublesome to get there via land .,[],DiGraph with 5 nodes and 5 edges,get-05,there,:destination,get-05,there,:goal,g_4,s2g_3,t2_5,s2t2_4,[':goal'],[1.0],:goal
6,AMR to UMR targerted conversion split roles - Graphs.csv,7,"For their honeymoon, the couple flew first class to Hawaii.","[{'LOC': 'Hawaii'}, {'B_human': 'couple'}]",DiGraph with 11 nodes and 11 edges,fly-01,state,:destination,fly-01,state,:goal,f_3,s8f_0,s_5,s8s_2,[':goal'],[1.0],:goal
8,AMR to UMR targerted conversion split roles - Graphs.csv,11,The old man died of lung cancer .,[{'B_human': 'man'}],DiGraph with 9 nodes and 9 edges,man,old,:mod,man,old,:mod,m_4,s12m_3,o_5,s12o_4,"[':mod', ':other-role']","[0.995, 0.005]",:mod
11,AMR to UMR targerted conversion split roles - Graphs.csv,14,"I can't do work at home, because she shouts at me.","[{'PER': 'I'}, {'PER': 'she'}, {'PER': 'me'}]",DiGraph with 8 nodes and 8 edges,possible-01 :polarity -,cause-01,:ARG1-of,possible-01,shout-01,:reason,p_3,s15s_9,c_7,s15p_2,[':reason'],[1.0],:reason
14,AMR to UMR targerted conversion split roles - Graphs.csv,18,I must stop now as the shuttle leaves in 10 minutes.,[{'PER': 'I'}],DiGraph with 12 nodes and 12 edges,obligate-01,cause-01,:ARG1-of,obligate-01,leave-11,:Cause-of,o_3,s19l_8,c_7,s19o_2,"[':cause', ':reason']","[0.9, 0.1]",:cause
22,AMR to UMR targerted conversion split roles - Graphs.csv,26,"Workers described `` clouds of blue dust '' that hung over parts of the factory , even though exhaust fans ventilated the area .",[{'B_human': 'Workers'}],DiGraph with 14 nodes and 14 edges,cloud,dust,:consist-of,cloud-01,dust,:material,c3_6,s37c_4,d3_7,s37d2_5,"[':group', ':part', ':material']","[0.1, 0.1, 0.8]",:part
32,AMR to UMR targerted conversion split roles - Graphs.csv,37,Hallmark could make a fortune off of this guy.,"[{'MISC': 'Hallmark'}, {'B_human': 'guy'}]",DiGraph with 9 nodes and 9 edges,guy,this,:mod,guy,this,:mod,g_10,s48g_5,t_11,s48t_6,"[':mod', ':other-role']","[0.995, 0.005]",:mod
36,AMR to UMR targerted conversion split roles - Graphs.csv,38,It stimulates others to be big contributors so they may be in on the next wave of free cash from the boy king.,"[{'B_human': 'contributors'}, {'B_human': 'boy king'}, {'PER': 'they'}]",DiGraph with 15 nodes and 15 edges,cash,king,:source,cash,king,:source,c2_13,s49c2_14,k_15,s49k_16,"[':material', ':source', ':start']","[0.1, 0.6, 0.3]",:material
37,AMR to UMR targerted conversion split roles - Graphs.csv,39,The Wonder Tour will start from Hong Kong .,"[{'MISC': 'Wonder Tour'}, {'LOC': 'Hong Kong'}]",DiGraph with 12 nodes and 12 edges,start-01,city,:source,start-01,city,:start,s_3,s50s_2,c_10,s50c_7,"[':material', ':source', ':start']","[0.1, 0.6, 0.3]",:material
38,AMR to UMR targerted conversion split roles - Graphs.csv,40,"After all , what are the joyful memories from inside paradise ?",[],DiGraph with 6 nodes and 6 edges,memory,joyful,:mod,memory,joyful,:mod,m_3,s51m_2,j_4,s51j_3,"[':mod', ':other-role']","[0.995, 0.005]",:mod
