ID,dataset,split-role,split-choice,animacy of term,sentence,AMR,UMR,notes,Animacy Recognition,Named Entity
cause1,AMR guidelines,:cause,:reason,,"The boy murmured softly to soothe the girl, because he worried about her.","# The boy murmured softly to soothe the girl, because he worried about her.
(m / murmur-01
  :ARG0 (b / boy)
  :manner (s / soft-02)
  :purpose (s2 / soothe-01
               :ARG1 (g / girl))
  :cause (w / worry-01
            :ARG0 b
            :topic g))","# The boy murmured softly to soothe the girl, because he worried about her.
(s11m / murmur-01
  :actor (s11b / boy)
  :manner (s11s / soft)
  :purpose (s11s2 / soothe-01
             :undergoer (s11g / girl))
  :reason (s11w / worry-01
            :ARG0 (s11b)
            :topic (s11g)))",,,"[{'B_human': 'boy'}, {'B_human': 'girl'}, {'PER': 'he'}, {'PER': 'her'}],"
cause2,amr-release-3.0-amrs-guidelines.txt,:cause,:cause,,The old man died of lung cancer .,"# ::id isi_0002.36 ::date 2012-06-02T18:42:55 ::annotator ISI-AMR-01 ::preferred
# ::snt The old man died of lung cancer .
# ::save-date Wed Oct 28, 2015 ::file isi_0002_36.txt
(d / die-01
      :ARG1 (m / man
            :mod (o / old))
      :ARG1-of (c / cause-01
            :ARG0 (d2 / disease :wiki ""Lung_cancer""
                  :name (n / name :op1 ""lung"" :op2 ""cancer""))))","# ::snt The old man died of lung cancer .
(s12d / die-01
  :undergoer (s12m / man
               :mod (s12o / old))
  :Cause-of (s12d2 / disease
              :name (s12n / name
                      :op1 ""lung""
                      :op2 ""cancer"")))",,,"[{'B_human': 'man'}],"
cause3,amr-release-3.0-amrs-guidelines.txt,:cause,:cause,,The match has been canceled due to the rain.,"# ::id isi_0002.360 ::date 2014-02-14T17:33:10 ::annotator ISI-AMR-01 ::preferred
# ::snt The match has been canceled due to the rain.
# ::save-date Sun Jun 21, 2015 ::file isi_0002_360.txt
(c / cancel-01
      :ARG1 (m / match-03)
      :ARG1-of (c2 / cause-01
            :ARG0 (r / rain-01)))","# ::snt The match has been canceled due to the rain.
(s13c / cancel-01
  :undergoer (s13m / match-03)
  :cause (s13r / rain-01))",,,"[],"
cause4,amr-release-3.0-amrs-guidelines.txt,:cause,:cause,,He was injured and therefore unable to play.,"# ::id isi_0002.375 ::date 2014-02-20T14:22:10 ::annotator ISI-AMR-01 ::preferred
# ::snt He was injured and therefore unable to play.
# ::save-date Thu Feb 20, 2014 ::file isi_0002_375.txt
(i / injure-01
      :ARG1 (h / he)
      :ARG0-of (c / cause-01
            :ARG1 (p / possible-01 :polarity -
                  :ARG1 (p2 / play-01
                        :ARG0 h))))","# ::snt He was injured and therefore unable to play.
(s14i2 / injure-01
  :undergoer (s14h / he
               :refer-person 3rd
               :refer-number Singular)
  :cause (s14p / possible-01
           :ARG1 (s14p2 / play-01
                   :actor (s14h))
           :polarity -))",,,"[{'PER': 'He'}],"
cause5,amr-release-3.0-amrs-guidelines.txt,:cause,:reason,,"I can't do work at home, because she shouts at me.","# ::id isi_0002.376 ::date 2014-02-20T16:29:03 ::annotator ISI-AMR-01 ::preferred
# ::snt I can't do work at home, because she shouts at me.
# ::save-date Thu Feb 20, 2014 ::file isi_0002_376.txt
(p / possible-01 :polarity -
      :ARG1 (w / work-01
            :ARG0 (i / i)
            :location (h / home))
      :ARG1-of (c / cause-01
            :ARG0 (s / shout-01
                  :ARG0 (s2 / she)
                  :ARG2 i)))","# ::snt I can't do work at home, because she shouts at me.
(s15p / possible-01
  :ARG1 (s15w / work-01
          :actor (s15i / i
                   :refer-person 1st
                   :refer-number Singular)
          :place (s15h / home))
  :polarity -
  :reason (s15s / shout-01
            :actor (s15s2 / she
                     :refer-person 3rd
                     :refer-number Singular)
            :Experiencer-of (s15i)))",,,"[{'PER': 'I'}, {'PER': 'she'}, {'PER': 'me'}],"
cause6,amr-release-3.0-amrs-lorelei.txt,:cause,:cause,,The hospital has been vacated due to extensive damage.,"# ::id ENG_DF_000203_20120415_C0001ONSN_0001.8 ::date 2017-11-14T02:09:08 ::annotator SDL-AMR-09 ::preferred
# ::snt The hospital has been vacated due to extensive damage.
# ::save-date Thu Jan 11, 2018 ::file ENG_DF_000203_20120415_C0001ONSN_0001_8.txt
(v / vacate-01
      :ARG1 (h / hospital)
      :ARG1-of (c / cause-01
            :ARG0 (d / damage-01
                  :ARG1-of (e / extensive-03))))","# ::snt The hospital has been vacated due to extensive damage.
(s16v / vacate-01
  :undergoer (s16h / hospital)
  :cause (s16d / damage-01
           :mod (s16e / extensive)))",,,"[],"
cause7,amr-release-3.0-amrs-guidelines.txt,:cause,:cause,,The earthquake caused a tsunami.,"# ::id isi_0002.378 ::date 2014-02-20T16:39:45 ::annotator ISI-AMR-01 ::preferred
# ::snt The earthquake caused a tsunami.
# ::save-date Thu Feb 20, 2014 ::file isi_0002_378.txt
(c / cause-01
      :ARG0 (e / earthquake)
      :ARG1 (t / tsunami))","# ::snt The earthquake caused a tsunami.
(s17h / have-cause-91
  :undergoer (s17n / natural-disaster
               :name (s17n2 / name
                       :op1 ""tsunami""))
  :force (s17n3 / natural-disaster
           :name (s17n4 / name
                   :op1 ""earthquake""))
  :Aspect Performance
  :MODSTR FullAff)",,,"[],"
cause8,amr-release-3.0-amrs-guidelines.txt,:cause,:cause,,Scores of people drowned when the boat sank.,"# ::id isi_0002.386 ::date 2014-02-20T20:49:55 ::annotator ISI-AMR-01 ::preferred
# ::snt Scores of people drowned when the boat sank.
# ::save-date Thu Feb 20, 2014 ::file isi_0002_386.txt
(d / drown-02
      :ARG1 (p / person
            :quant (m / multiple :op1 20))
      :ARG1-of (c / cause-01
            :ARG0 (s / sink-01
                  :ARG1 (b / boat))))","# ::snt Scores of people drowned when the boat sank.
(s18d / drown-02
  :experiencer (s18p2 / person
          :quant (s18m / multiple
                   :op1 (s18x / 20)))
  :cause (s18s / sink-01
           :undergoer (s18b / boat)))",*missing people?,,"[],"
cause9,amr-release-3.0-amrs-guidelines.txt,:cause,:cause,,I must stop now as the shuttle leaves in 10 minutes.,"# ::id isi_0002.424 ::date 2014-02-24T17:44:26 ::annotator ISI-AMR-01 ::preferred
# ::snt I must stop now as the shuttle leaves in 10 minutes.
# ::save-date Sat Jul 25, 2015 ::file isi_0002_424.txt
(o / obligate-01
      :ARG2 (s / stop-01
            :ARG0 (i / i)
            :time (n / now))
      :ARG1-of (c / cause-01
            :ARG0 (l / leave-11
                  :ARG0 (s2 / shuttle)
                  :time (a / after
                        :op1 (n2 / now)
                        :quant (t / temporal-quantity :quant 10
                              :unit (m / minute))))))","# ::snt I must stop now as the shuttle leaves in 10 minutes.
(s19o / obligate-01
  :ARG2 (s19s / stop-01
          :actor (s19i / i
                   :refer-person 1st
                   :refer-number Singular)
          :time (s19n / now))
  :Cause-of (s19l / leave-11
              :theme (s19s2 / shuttle)
              :time (s19a / after
                      :op1 (s19n2 / now)
                      :quant (s19t / temporal-quantity
                               :unit (s19m / minute))
                      :quant 10)))",,,"[{'PER': 'I'}],"
cause10,amr-release-3.0-amrs-guidelines.txt,:cause,:reason,,"John, please -- there are children in the audience.","# ::id isi_0002.658 ::date 2015-09-15T21:37:34 ::annotator ISI-AMR-01 ::preferred
# ::snt John, please -- there are children in the audience.
# ::save-date Tue Sep 15, 2015 ::file isi_0002_658.txt
(r / reasonable-02 :mode imperative :polite +
      :ARG1 (p / person :wiki - :name (n / name :op1 ""John""))
      :ARG1-of (c / cause-01
            :ARG0 (i / include-91
                  :ARG1 (c2 / child)
                  :ARG2 (a / audience))))","# John, please -- there are children in the audience.
(s20r / reasonable-02
  :actor (s20p / person
          :name (s20n / name
                  :op1 ""John"")))
  :polite (s20b / be-polite-91)
  :reason (s20a / audience)
             :Group-of (s20c / child)))",,,"[{'PER': 'John'}, {'B_human': 'children'}],"
cause11,amr-release-3.0-amrs-guidelines.txt,:cause,:reason,,She divorced him in part due to his alcoholism.,"# ::id isi_0002.722 ::date 2015-11-19T18:38:43 ::annotator ISI-AMR-01 ::preferred
# ::snt She divorced him in part due to his alcoholism.
# ::save-date Thu Nov 19, 2015 ::file isi_0002_722.txt
(d / divorce-01
      :ARG0 (s / she)
      :ARG1 (h / he)
      :ARG1-of (c / cause-01
            :ARG0 (a / alcoholic
                  :domain h)
            :degree (p / part)))","# ::snt She divorced him in part due to his alcoholism.
(s21d / divorce-02
  :actor (s21s / she
          :refer-person 3rd
          :refer-number Singular)
  :undergoer (s21h / him
          :refer-person 3rd
          :refer-number Singular)
  :reason (s21a / alcoholism
            :degree (s21p / part))
  :MODSTR FullAff)",*his alcohalism should be captured here?,,"[{'PER': 'She'}, {'PER': 'him'}],"
part1,amr-release-3.0-amrs-guidelines.txt,:part,:part,,"John Smith, 30, blond, blue eyes, 6'2, 200 lbs.","# ::id isi_0002.665 ::date 2015-10-09T15:45:15 ::annotator ISI-AMR-01 ::preferred
# ::snt John Smith, 30, blond, blue eyes, 6'2, 200 lbs.
# ::save-date Thu Jan 11, 2018 ::file isi_0002_665.txt
(p / person :wiki - :name (n / name :op1 ""John"" :op2 ""Smith"")
      :age (t / temporal-quantity :quant 30
            :unit (y / year))
      :mod (b / blonde)
      :part (e / eye
            :mod (b2 / blue))
      :mod (t2 / tall
            :quant (s / sum-of
                  :op1 (d / distance-quantity :quant 6
                        :unit (f / foot))
                  :op2 (d2 / distance-quantity :quant 2
                        :unit (i / inch))))
      :ARG1-of (w / weigh-01
            :ARG3 (m / mass-quantity :quant 200
                  :unit (p2 / pound))))",,,,"[{'PER': 'John Smith'}],"
part2,amr-release-3.0-amrs-consensus.txt,:part,:part,,"From 1953 to 1955 , 9.8 billion Kent cigarettes with the filters were sold , the company said .","# ::id nw.wsj_0003.12 ::date 2012-04-25T21:25:40 ::annotator ISI-AMR-01 ::preferred
# ::snt From 1953 to 1955 , 9.8 billion Kent cigarettes with the filters were sold , the company said .
# ::save-date Thu Aug 16, 2012 ::file nw_wsj_0003_12.txt
(s / say-01
      :ARG0 (c / company)
      :ARG1 (s2 / sell-01
            :ARG1 (c2 / cigarette :quant 9800000000 :wiki ""Kent_(cigarette)""
                  :name (k / name :op1 ""Kent"")
                  :part (p / product
                        :ARG0-of (f / filter-02)))
            :time (d / date-interval
                  :op1 (d2 / date-entity :year 1953)
                  :op2 (d3 / date-entity :year 1955))))",,,,"[{'ORG': 'Kent'}],"
part3,amr-release-3.0-amrs-consensus.txt,:part,:part,,"Of course , VDOT has no more money for road construction in the Richmond region .","# ::id wb.eng_0003.11 ::date 2012-08-27T11:31:24 ::annotator ISI-AMR-01 ::preferred
# ::snt Of course , VDOT has no more money for road construction in the Richmond region .
# ::save-date Wed Oct 17, 2012 ::file wb_eng_0003_11.txt
(h / have-03 :polarity -
      :ARG0 (g / government-organization :wiki ""Virginia_Department_of_Transportation""
            :name (v / name :op1 ""VDOT""))
      :ARG1 (m / money
            :purpose (c2 / construct-01
                  :ARG1 (r2 / road
                        :location (r3 / region
                              :part (c / city :wiki ""Richmond,_Virginia""
                                    :name (r / name :op1 ""Richmond""))))))
      :mod (o / of-course))",,,,"[{'ORG': 'VDOT'}, {'LOC': 'Richmond'}],"
part4,amr-release-3.0-amrs-xinhua.txt,:part,:part,,"Regarding foreign contracted projects and cooperation of labor service , the Hong Kong region is still the most important market of the inland .","# ::id nw.chtb_0101.8 ::date 2012-11-20T08:12:49 ::annotator SDL-AMR-09 ::preferred
# ::snt Regarding foreign contracted projects and cooperation of labor service , the Hong Kong region is still the most important market of the inland .
# ::save-date Tue Jan 21, 2014 ::file nw_chtb_0101_8.txt
(m / market
      :ARG1-of (i / important-01
            :mod (m2 / most))
      :mod (s / still)
      :poss (i2 / inland)
      :domain (r / region
            :part (c / city :wiki ""Hong_Kong""
                  :name (n2 / name :op1 ""Hong"" :op2 ""Kong"")))
      :topic (a / and
            :op1 (p / project
                  :ARG1-of (c4 / contract-02
                        :mod (f / foreign)))
            :op2 (c6 / cooperate-01
                  :ARG0 (s2 / serve-01
                        :ARG1 (l / labor-01)))))",,,,"[{'LOC': 'Hong Kong'}],"
part5,amr-release-3.0-amrs-dfb.txt,:part,:part,,"It applies to male adherents of feminism too, you know, limp-wristed, leftist men.","# ::id bolt-eng-DF-170-181103-8882248_0238.21 ::date 2015-10-23T00:53:24 ::annotator SDL-AMR-09 ::preferred
# ::snt It applies to male adherents of feminism too, you know, limp-wristed, leftist men.
# ::save-date Thu Mar 3, 2016 ::file bolt-eng-DF-170-181103-8882248_0238_21.txt
(a3 / apply-02
      :ARG1 (i / it)
      :ARG2 (m2 / man
            :ARG0-of (a2 / adhere-02
                  :ARG1 (f / feminism))
            :ARG1-of (l2 / left-19)
            :part (w / wrist
                  :mod (l3 / limp)))
      :mod (k / know-06
            :ARG0 (y / you))
      :mod (t / too))",,,,"[{'B_human': 'ad'}, {'B_human': 'men'}, {'PER': 'you'}],"
part6,amr-release-3.0-amrs-lorelei.txt,:part,:part,,"Texas, Especially Austin, Needs Help!","# ::id ENG_DF_000170_20050903_C00020J0V_0001.1 ::date 2017-11-16T11:22:51 ::annotator SDL-AMR-09 ::preferred
# ::snt Texas, Especially Austin, Needs Help!
# ::save-date Mon Jan 22, 2018 ::file ENG_DF_000170_20050903_C00020J0V_0001_1.txt
(n2 / need-01
      :ARG0 (s / state :wiki ""Texas"" :name (n / name :op1 ""Texas"")
            :part (c / city :wiki ""Austin,_Texas"" :name (n3 / name :op1 ""Austin"")
                  :mod (e / especially)))
      :ARG1 (h / help-01
            :ARG2 s))",,,,"[{'LOC': 'Texas'}, {'LOC': 'Austin'}],"
part7,amr-release-3.0-amrs-cctv.txt,:part,:part,,"Among common birds , a rather special one is the black - faced spoonbill ","# ::id bc.cctv_0000.128 ::date 2012-12-19T15:33:07 ::annotator SDL-AMR-09 ::preferred
# ::snt Among common birds , a rather special one is the black - faced spoonbill .
# ::save-date Fri Jul 24, 2015 ::file bc_cctv_0000_128.txt
(s / special-02
      :ARG1 (s2 / spoonbill
            :part (f / face
                        :ARG1-of (b / black-04))
            :ARG1-of (i / include-91
                  :ARG2 (b2 / bird
                        :mod (c / common))))
      :degree (r / rather))",,,,"[{'B_animal': 'birds'}, {'B_animal': 'spoon'}],"
part8,amr-release-3.0-amrs-lorelei.txt,:part,:part,,"They collect and prepare nonperishable food boxes for local shelters and meal programs, and are helping with the Katrina effort.","# ::id ENG_DF_000170_20050903_C00020J0V_0001.30 ::date 2017-11-16T13:18:51 ::annotator SDL-AMR-09 ::preferred
# ::snt They collect and prepare nonperishable food boxes for local shelters and meal programs, and are helping with the Katrina effort.
# ::save-date Fri Nov 17, 2017 ::file ENG_DF_000170_20050903_C00020J0V_0001_30.txt
(a / and
      :op1 (c / collect-01
            :ARG0 (t / they)
            :ARG1 (b / box
                  :part (f / food
                        :mod (p2 / perishable :polarity -)))
            :beneficiary (a2 / and
                  :op1 (s / shelter-01
                        :ARG1-of (l / local-02))
                  :op2 (p3 / program
                        :mod (m / meal))))
      :op2 (p / prepare-01
            :ARG0 t
            :ARG1 b)
      :op3 (h / help-01
            :ARG0 t
            :ARG1 (e / effort-01
                  :ARG1 (n / natural-disaster :wiki ""Hurricane_Katrina""
                        :name (n2 / name :op1 ""Katrina"")))))",,,,"[{'MISC': 'Katrina'}, {'PER': 'They'}],"
part9,amr-release-3.0-amrs-lorelei.txt,:part,:part,,"Tornado rakes Southern Indiana; Marysville, town of 1,900, 'completely gone' | The Indianapolis Star | indystar.com","# ::id ENG_DF_000170_20120302_C000205QT_0001.12 ::date 2017-11-17T14:42:24 ::annotator SDL-AMR-09 ::preferred
# ::snt Tornado rakes Southern Indiana; Marysville, town of 1,900, 'completely gone' | The Indianapolis Star | indystar.com
# ::save-date Fri Nov 17, 2017 ::file ENG_DF_000170_20120302_C000205QT_0001_12.txt
(h / headline-01
      :ARG1 (c / company :wiki ""The_Indianapolis_Star""
            :name (n / name :op1 ""The"" :op2 ""Indianapolis"" :op3 ""Star"")
            :mod (u / url-entity :value ""indystar.com""))
      :ARG2 (a / and
            :op1 (r / rake-01
                  :ARG0 (t / tornado)
                  :ARG1 (l / local-region :wiki ""Southern_Indiana""
                        :name (n3 / name :op1 ""Southern"" :op2 ""Indiana"")))
            :op2 (g / go-02
                  :ARG0 (t2 / town :wiki ""Marysville,_Indiana""
                        :name (n4 / name :op1 ""Marysville"")
                        :part (p / person :quant 1900))
                  :ARG1-of (c2 / complete-02))))",,,,"[{'LOC': 'Southern Indiana'}, {'LOC': 'Marysville'}, {'ORG': 'Indianapolis Star'}],"
part10,amr-release-3.0-amrs-fables.txt,:part,:part,,"The Monkey came with the rest and presented, with all a mother's tenderness, a flat-nosed, hairless, ill-featured young Monkey as a candidate for the promised reward.","# ::id qmul-short_0001.2 ::date 2017-11-03T20:34:57 ::annotator SDL-AMR-09 ::preferred
# ::snt The Monkey came with the rest and presented, with all a mother's tenderness, a flat-nosed, hairless, ill-featured young Monkey as a candidate for the promised reward.
# ::save-date Mon Nov 27, 2017 ::file qmul-short_0001_2.txt
(a / and
      :op1 (c / come-01
            :ARG1 (m3 / monkey)
            :accompanier (r / rest))
      :op2 (p2 / present-01
            :ARG0 m3
            :ARG1 (m2 / monkey
                  :mod (y / young)
                  :part (n / nose
                        :ARG1-of (f2 / flat-06))
                  :ARG0-of (h2 / have-03 :polarity -
                        :ARG1 (h3 / hair))
                  :mod (f / feature
                        :ARG1-of (i3 / ill-02)))
            :ARG3 (c2 / candidate
                  :purpose (r2 / reward-01
                        :ARG2-of (p / promise-01)))
            :manner (t / tender
                  :domain (m / mother)
                  :mod (a3 / all))))",,,* redundancy due to combining different parsers.,"[{'MISC': 'Monkey'}, {'PER': 'Monkey'}, {'B_animal': 'Monkey'}, {'B_human': 'mother'}, {'B_animal': 'Monkey'}, {'B_human': 'candidate'}],"
consist1,amr-release-3.0-amrs-guidelines.txt,:consist-of,:material,,I saw a cloud of dust .,"# ::id isi_0002.27 ::date 2012-06-02T15:20:45 ::annotator ISI-AMR-01 ::preferred
# ::snt I saw a cloud of dust .
# ::save-date Sat Jun 2, 2012 ::file isi_0002_27.txt
(s / see-01
      :ARG0 (i / i)
      :ARG1 (c / cloud
            :consist-of (d / dust)))","# ::snt I saw a cloud of dust .
(s32s / see-01
  :experiencer (s32i / i
          :refer-person 1st
          :refer-number Singular)
  :stimulus (s32c / cloud
          :material (s32d / dust)))",,,"[{'PER': 'I'}],"
consist2,amr-release-3.0-amrs-guidelines.txt,:consist-of,:group,,A team of researchers made a discovery .,"# ::id isi_0002.28 ::date 2012-06-02T15:21:20 ::annotator ISI-AMR-01 ::preferred
# ::snt A team of researchers made a discovery .
# ::save-date Sat Jun 2, 2012 ::file isi_0002_28.txt
(d / discover-01
      :ARG0 (t / team
            :consist-of (p / person
                  :ARG0-of (r / research-01))))","# ::snt A team of researchers made a discovery .
(s33d / discover-01
  :actor (s33t / team
          :group (s33r / researcher))
  :undergoer (s33t2 / thing))",,,"[{'B_human': 'researchers'}],"
consist3,amr-release-3.0-amrs-guidelines.txt,:consist-of,:material,,a ring of gold,"# ::id isi_0002.79 ::date 2012-07-03T11:00:24 ::annotator ISI-AMR-01 ::preferred
# ::snt a ring of gold
# ::save-date Tue Jul 3, 2012 ::file isi_0002_79.txt
(r / ring
      :consist-of (g / gold))","# ::snt a ring of gold
(s34e / exist-01
  :undergoer (s34r / ring
          :material (s34g / gold)))",,,"[],"
consist4,amr-release-3.0-amrs-guidelines.txt,:consist-of,:group,,The children's choir sang beautifully.,"# ::id isi_0002.479 ::date 2014-05-07T16:09:57 ::annotator ISI-AMR-01 ::preferred
# ::snt The children's choir sang beautifully.
# ::save-date Sat Jul 25, 2015 ::file isi_0002_479.txt
(s / sing-01
      :ARG0 (c / choir
            :consist-of (c2 / child))
      :ARG1-of (b / beautiful-02))","# ::snt The children's choir sang beautifully.
(s35s / sing-01
  :actor (s35c / choir
          :group (s35c2 / child))
  :mod (s35b / beautiful))",,,"[],"
