,file,sent_i,sent,ne_info,amr_graph,amr_head_name,amr_tail_name,amr_role,umr_head_name,umr_tail_name,umr_role,amr_head_id,umr_head_id,amr_tail_id,umr_tail_id
28,1,115,CEO of IBM,"[{'ORG': 'IBM'}, {'B_human': 'CEO'}]",DiGraph with 9 nodes and 8 edges,officer,executive,:mod,,,,,,,
29,1,116,The game will be canceled if it rains .,[],DiGraph with 3 nodes and 2 edges,cancel-01,rain-01,:condition,,,,,,,
30,1,117,"In the case of rain, the game will be canceled .",[],DiGraph with 3 nodes and 2 edges,cancel-01,rain-01,:condition,,,,,,,
31,1,118,The game will be canceled unless the rain stops .,[],DiGraph with 5 nodes and 4 edges,cancel-01,stop-01,:condition,,,,,,,
32,1,122,high tech companies like IBM and Google,"[{'ORG': 'IBM'}, {'ORG': 'Google'}]",DiGraph with 12 nodes and 11 edges,company,tech,:mod,,,,,,,
33,1,138,"I like classical music, but John likes jazz .","[{'PER': 'John'}, {'PER': 'I'}]",DiGraph with 11 nodes and 10 edges,music,classics,:mod,,,,,,,
34,1,150,Group A: (1) Germany (2) Brazil (3) Italy (4) Argentina,"[{'LOC': 'Germany'}, {'LOC': 'Brazil'}, {'LOC': 'Italy'}, {'LOC': 'Argentina'}]",DiGraph with 24 nodes and 23 edges,group,"""A""",:mod,,,,,,,
35,1,153,Never do that again.,[],DiGraph with 6 nodes and 5 edges,do-02,again,:mod,,,,,,,
36,1,154,I drove to the store.,[{'PER': 'I'}],DiGraph with 3 nodes and 2 edges,drive-01,store,:destination,,,,,,,
37,1,155,I drove from the store.,[{'PER': 'I'}],DiGraph with 3 nodes and 2 edges,drive-01,store,:source,,,,,,,
38,1,156,I drove to Indianapolis on I-65.,"[{'LOC': 'Indianapolis'}, {'MISC': 'I-65'}, {'PER': 'I'}]",DiGraph with 10 nodes and 9 edges,drive-01,city,:destination,,,,,,,
39,1,165,I walked up to the window.,[{'PER': 'I'}],DiGraph with 3 nodes and 2 edges,walk-01,window,:destination,,,,,,,
40,1,166,I backed away from the window.,[{'PER': 'I'}],DiGraph with 3 nodes and 2 edges,back-02,window,:source,,,,,,,
41,1,174,He said he would support them as long as they didn't break any rules.,"[{'PER': 'He'}, {'PER': 'he'}, {'PER': 'them'}, {'PER': 'they'}]",DiGraph with 11 nodes and 10 edges,rule,any,:mod,,,,,,,
42,1,174,He said he would support them as long as they didn't break any rules.,"[{'PER': 'He'}, {'PER': 'he'}, {'PER': 'them'}, {'PER': 'they'}]",DiGraph with 11 nodes and 10 edges,support-01,as-long-as,:condition,,,,,,,
43,1,178,only 10 minutes,[],DiGraph with 3 nodes and 2 edges,temporal-quantity :quant 10,only,:mod,,,,,,,
44,1,179,The mayor proposed to lower crime by hiring more police officers.,"[{'B_human': 'mayor'}, {'B_human': 'officers'}]",DiGraph with 12 nodes and 11 edges,person,more,:mod,,,,,,,
45,1,188,There was a big explosion .,[],DiGraph with 2 nodes and 1 edges,explode-01,big,:mod,,,,,,,
46,1,190,Our next meeting will be on Friday at 11am .,[],DiGraph with 6 nodes and 5 edges,meet-01,next,:mod,,,,,,,
47,1,203,Three Roman legions were annihilated in the Battle of the Teutoburg Forest in 9 AD .,"[{'MISC': 'Roman'}, {'MISC': 'Battle of the'}, {'LOC': 'Teutoburg Forest'}]",DiGraph with 16 nodes and 15 edges,legion,country,:mod,,,,,,,
48,1,205,academic year 2011-2012,[],DiGraph with 4 nodes and 3 edges,year,academia,:mod,,,,,,,
49,1,206,United States government fiscal year 2012,[{'LOC': 'United States'}],DiGraph with 10 nodes and 9 edges,year,finance,:mod,,,,,,,
50,1,206,United States government fiscal year 2012,[{'LOC': 'United States'}],DiGraph with 10 nodes and 9 edges,year,government-organization,:mod,,,,,,,
51,1,229,What a great book!,[],DiGraph with 3 nodes and 2 edges,book,great,:mod,,,,,,,
52,1,233,"Dad, I need more money.","[{'B_human': 'Dad'}, {'PER': 'I'}]",DiGraph with 10 nodes and 9 edges,money,more,:mod,,,,,,,
53,1,237,Most students don't like math.,[{'B_human': 'students'}],DiGraph with 5 nodes and 4 edges,person,most,:mod,,,,,,,
54,1,263,nuclear weapons,[],DiGraph with 2 nodes and 1 edges,weapon,nucleus,:mod,,,,,,,
55,1,264,The big fish wants to eat the little fish.,"[{'B_animal': 'fish'}, {'B_animal': 'fish'}]",DiGraph with 7 nodes and 6 edges,fish,big,:mod,,,,,,,
56,1,264,The big fish wants to eat the little fish.,"[{'B_animal': 'fish'}, {'B_animal': 'fish'}]",DiGraph with 7 nodes and 6 edges,fish,little,:mod,,,,,,,
57,1,269,United Nations Secretary General Ban Ki-moon traveled to Egypt.,"[{'ORG': 'United Nations'}, {'PER': 'Ban Ki-moon'}, {'LOC': 'Egypt'}]",DiGraph with 18 nodes and 17 edges,secretary,general,:mod,,,,,,,
58,1,275,Should we increase security at the expense of democratic principles?,[{'PER': 'we'}],DiGraph with 8 nodes and 7 edges,principle,democracy,:mod,,,,,,,
59,1,284,"She works for UBS, a big Swiss bank.","[{'ORG': 'UBS'}, {'MISC': 'Swiss'}, {'PER': 'She'}]",DiGraph with 11 nodes and 10 edges,bank,big,:mod,,,,,,,
60,1,284,"She works for UBS, a big Swiss bank.","[{'ORG': 'UBS'}, {'MISC': 'Swiss'}, {'PER': 'She'}]",DiGraph with 11 nodes and 10 edges,bank,country,:mod,,,,,,,
61,1,294,"When I met her for the first time, Mary still worked for Goldman Sachs.","[{'PER': 'Mary'}, {'ORG': 'Goldman Sachs'}, {'PER': 'I'}, {'PER': 'her'}]",DiGraph with 16 nodes and 15 edges,work-01,still,:mod,,,,,,,
62,1,297,North Korea agreed to dismantle the nuclear reactor in return for economic aid.,[{'LOC': 'North Korea'}],DiGraph with 15 nodes and 14 edges,reactor,nucleus,:mod,,,,,,,
63,1,298,"The company paid $20,000 in return for the release of all claims.",[],DiGraph with 9 nodes and 8 edges,claim-02,all,:mod,,,,,,,
64,1,300,Lawmakers demanded the ban of chemical weapons.,[{'B_human': 'Law'}],DiGraph with 6 nodes and 5 edges,weapon,chemical,:mod,,,,,,,
65,1,304,audio and/or video components,[],DiGraph with 4 nodes and 3 edges,component,and-or,:mod,,,,,,,
66,1,305,"During negotiations between North Korea and the US, North Korean officials promised that the country will freeze its nuclear program.","[{'LOC': 'North Korea'}, {'LOC': 'US'}, {'MISC': 'North Korean'}, {'B_human': 'officials'}, {'PER': 'US'}]",DiGraph with 20 nodes and 19 edges,program,nucleus,:mod,,,,,,,
67,1,306,"During negotiations between North Korea and the US, North Korean officials promised that North Korea will freeze its nuclear program.","[{'LOC': 'North Korea'}, {'LOC': 'US'}, {'MISC': 'North Korean'}, {'LOC': 'North Korea'}, {'B_human': 'officials'}, {'PER': 'US'}]",DiGraph with 20 nodes and 19 edges,program,nucleus,:mod,,,,,,,
68,1,307,North Korean officials promised that North Korea will soon begin to freeze its nuclear program.,"[{'MISC': 'North Korean'}, {'LOC': 'North Korea'}, {'B_human': 'officials'}]",DiGraph with 17 nodes and 16 edges,program,nucleus,:mod,,,,,,,
69,1,319,Iraqi Interior Ministry operations director Major General Abdel Karim Khalaf,"[{'MISC': 'Iraqi'}, {'ORG': 'Interior Ministry'}, {'PER': 'Abdel Karim Khalaf'}, {'B_human': 'director'}]",DiGraph with 19 nodes and 18 edges,director,operate-01,:mod,,,,,,,
70,1,325,USC Associate Professor for Mathematics Jay Bartroff,"[{'ORG': 'USC'}, {'PER': 'Jay Bartro'}, {'B_human': 'Associate Professor'}]",DiGraph with 12 nodes and 11 edges,professor,associate,:mod,,,,,,,
71,1,333,We met only once.,[{'PER': 'We'}],DiGraph with 5 nodes and 4 edges,have-frequency-91,only,:mod,,,,,,,
72,1,348,China spent 430 billion yuan RMB on water conservation.,"[{'LOC': 'China'}, {'MISC': 'R'}]",DiGraph with 11 nodes and 10 edges,yuan,renminbi,:mod,,,,,,,
73,1,349,Buffalo buffalo Buffalo buffalo buffalo buffalo Buffalo buffalo.,"[{'MISC': 'Buffalo'}, {'MISC': 'Buffalo'}, {'MISC': 'Buffalo'}, {'B_animal': 'Buffalo buffalo Buffalo buffalo buffalo buffalo Buffalo buffalo'}]",DiGraph with 11 nodes and 10 edges,buffalo,city,:source,,,,,,,
74,1,349,Buffalo buffalo Buffalo buffalo buffalo buffalo Buffalo buffalo.,"[{'MISC': 'Buffalo'}, {'MISC': 'Buffalo'}, {'MISC': 'Buffalo'}, {'B_animal': 'Buffalo buffalo Buffalo buffalo buffalo buffalo Buffalo buffalo'}]",DiGraph with 11 nodes and 10 edges,buffalo,c,:source,,,,,,,
75,1,349,Buffalo buffalo Buffalo buffalo buffalo buffalo Buffalo buffalo.,"[{'MISC': 'Buffalo'}, {'MISC': 'Buffalo'}, {'MISC': 'Buffalo'}, {'B_animal': 'Buffalo buffalo Buffalo buffalo buffalo buffalo Buffalo buffalo'}]",DiGraph with 11 nodes and 10 edges,buffalo,c,:source,,,,,,,
76,1,351,He works for the news agency AFP.,"[{'ORG': 'AFP'}, {'PER': 'He'}]",DiGraph with 7 nodes and 6 edges,agency,news,:mod,,,,,,,
77,1,375,Of course I know.,[{'PER': 'I'}],DiGraph with 3 nodes and 2 edges,know-01,of-course,:mod,,,,,,,
78,1,376,deputy minister of defense,[{'B_human': 'minister'}],DiGraph with 3 nodes and 2 edges,minister,deputy,:mod,,,,,,,
79,1,377,David Cameron is the prime minister of the United Kingdom.,"[{'PER': 'David Cameron'}, {'LOC': 'United Kingdom'}, {'B_human': 'minister'}]",DiGraph with 13 nodes and 12 edges,minister,prime,:mod,,,,,,,
80,1,379,a state-of-the-art missile defense system,[],DiGraph with 4 nodes and 3 edges,system,state-of-the-art,:mod,,,,,,,
81,1,381,Leukemia is a kind of cancer.,[{'MISC': 'Le'}],DiGraph with 8 nodes and 7 edges,disease,kind,:mod,,,,,,,
82,1,382,Leukemia is a type of cancer.,[{'MISC': 'Le'}],DiGraph with 8 nodes and 7 edges,disease,type,:mod,,,,,,,
83,1,383,Leukemia is a form of cancer.,[{'MISC': 'Le'}],DiGraph with 8 nodes and 7 edges,disease,form,:mod,,,,,,,
84,1,384,Leukemia is some sort of cancer.,[{'MISC': 'Le'}],DiGraph with 8 nodes and 7 edges,disease,sort,:mod,,,,,,,
85,1,394,The match has been canceled due to the rain.,[],DiGraph with 4 nodes and 3 edges,cancel-01,cause-01,:ARG1-of,,,,,,,
86,1,407,The package was delivered on time.,[],DiGraph with 3 nodes and 2 edges,deliver-01,on-time,:mod,,,,,,,
87,1,409,He was injured and therefore unable to play.,[{'PER': 'He'}],DiGraph with 7 nodes and 6 edges,injure-01,cause-01,:ARG0-of,,,,,,,
88,1,410,"I can't do work at home, because she shouts at me.","[{'PER': 'I'}, {'PER': 'she'}, {'PER': 'me'}]",DiGraph with 8 nodes and 7 edges,possible-01 :polarity -,cause-01,:ARG1-of,,,,,,,
89,1,411,Why did the chicken cross the road?,[],DiGraph with 5 nodes and 4 edges,cross-02,cause-01,:ARG1-of,,,,,,,
90,1,413,The number of cancer deaths has been increasing.,[],DiGraph with 9 nodes and 8 edges,die-01,cause-01,:ARG1-of,,,,,,,
91,1,415,He left last week.,[{'PER': 'He'}],DiGraph with 4 nodes and 3 edges,week,last,:mod,,,,,,,
92,1,417,"By and large, that information is accurate.",[],DiGraph with 4 nodes and 3 edges,information,that,:mod,,,,,,,
93,1,419,The Soviet era ended in 1991.,[{'MISC': 'Soviet'}],DiGraph with 9 nodes and 8 edges,era,country,:mod,,,,,,,
94,1,420,Scores of people drowned when the boat sank.,[],DiGraph with 7 nodes and 6 edges,drown-02,cause-01,:ARG1-of,,,,,,,
95,1,425,those boys,[{'B_human': 'boys'}],DiGraph with 2 nodes and 1 edges,boy,that,:mod,,,,,,,
96,1,430,All the boys left.,[{'B_human': 'boys'}],DiGraph with 3 nodes and 2 edges,boy,all,:mod,,,,,,,
97,1,433,the big and heavy ball,[],DiGraph with 3 nodes and 2 edges,ball,big,:mod,,,,,,,
98,1,433,the big and heavy ball,[],DiGraph with 3 nodes and 2 edges,ball,heavy,:mod,,,,,,,
99,1,444,He overslept again.,[{'PER': 'He'}],DiGraph with 3 nodes and 2 edges,oversleep-01,again,:mod,,,,,,,
100,1,446,countries with huge deficits,[],DiGraph with 4 nodes and 3 edges,deficit,huge,:mod,,,,,,,
101,1,450,government figures,[],DiGraph with 3 nodes and 2 edges,figure,government-organization,:source,,,,,,,
102,1,458,I must stop now as the shuttle leaves in 10 minutes.,[{'PER': 'I'}],DiGraph with 12 nodes and 11 edges,obligate-01,cause-01,:ARG1-of,,,,,,,
103,1,467,a coin from the former Soviet Union,[{'LOC': 'Soviet Union'}],DiGraph with 7 nodes and 6 edges,coin,country,:source,,,,,,,
104,1,475,my good old friend Michael,"[{'PER': 'Michael'}, {'B_human': 'friend'}]",DiGraph with 8 nodes and 7 edges,have-rel-role-91,old,:mod,,,,,,,
105,1,477,Berlin is a sister city of Los Angeles.,"[{'LOC': 'Berlin'}, {'LOC': 'Los Angeles'}]",DiGraph with 12 nodes and 11 edges,city,sister,:mod,,,,,,,
106,1,478,Berlin and Los Angeles are sister cities.,"[{'LOC': 'Berlin'}, {'LOC': 'Los Angeles'}]",DiGraph with 14 nodes and 13 edges,city,sister,:mod,,,,,,,
107,1,478,Berlin and Los Angeles are sister cities.,"[{'LOC': 'Berlin'}, {'LOC': 'Los Angeles'}]",DiGraph with 14 nodes and 13 edges,city,sister,:mod,,,,,,,
108,1,491,"After all, he is still my brother.","[{'B_human': 'brother'}, {'PER': 'he'}]",DiGraph with 6 nodes and 5 edges,have-rel-role-91,still,:mod,,,,,,,
109,1,492,after all these years,[],DiGraph with 4 nodes and 3 edges,year,this,:mod,,,,,,,
110,1,492,after all these years,[],DiGraph with 4 nodes and 3 edges,year,all,:mod,,,,,,,
111,1,493,physicists from all over the world,[{'B_human': 'physicist'}],DiGraph with 3 nodes and 2 edges,physicist,all-over,:source,,,,,,,
112,1,502,John still loves his ex.,"[{'PER': 'John'}, {'B_human': 'ex'}]",DiGraph with 11 nodes and 10 edges,love-01,still,:mod,,,,,,,
113,1,513,The children's choir sang beautifully.,[],DiGraph with 4 nodes and 3 edges,choir,child,:consist-of,,,,,,,
114,1,514,the poet Dr. Seuss,"[{'PER': 'Seuss'}, {'B_human': 'poet'}]",DiGraph with 4 nodes and 3 edges,doctor,poet,:mod,,,,,,,
115,1,518,He sold the company last October.,[{'PER': 'He'}],DiGraph with 6 nodes and 5 edges,date-entity,last,:mod,,,,,,,
116,1,522,I passed the exam this past year.,[{'PER': 'I'}],DiGraph with 5 nodes and 4 edges,year,past,:mod,,,,,,,
117,1,523,He called this past Tuesday.,[{'PER': 'He'}],DiGraph with 5 nodes and 4 edges,date-entity,past,:mod,,,,,,,
118,1,531,"If this happens again, I will resign.",[{'PER': 'I'}],DiGraph with 5 nodes and 4 edges,event,this,:mod,,,,,,,
119,1,531,"If this happens again, I will resign.",[{'PER': 'I'}],DiGraph with 5 nodes and 4 edges,event,again,:mod,,,,,,,
120,1,531,"If this happens again, I will resign.",[{'PER': 'I'}],DiGraph with 5 nodes and 4 edges,resign-01,event,:condition,,,,,,,
121,1,532,Something weird took place in the park.,[],DiGraph with 3 nodes and 2 edges,event,weird,:mod,,,,,,,
122,1,533,What happened in Japan?,[{'LOC': 'Japan'}],DiGraph with 6 nodes and 5 edges,event,amr-unknown,:mod,,,,,,,
123,1,534,"Instead, they found an old coin.",[{'PER': 'they'}],DiGraph with 5 nodes and 4 edges,coin,old,:mod,,,,,,,
124,1,535,She was a little bit nervous.,[{'PER': 'She'}],DiGraph with 4 nodes and 3 edges,bit,little,:mod,,,,,,,
125,1,543,Hot!!! :P,[],DiGraph with 4 nodes and 3 edges,hot-03,emoticon,:mod,,,,,,,
126,1,545,a 5.6% interest rate,[],DiGraph with 4 nodes and 3 edges,rate,interest,:mod,,,,,,,
127,1,550,a surface-to-surface missile,[],DiGraph with 3 nodes and 2 edges,missile,surface,:source,,,,,,,
128,1,550,a surface-to-surface missile,[],DiGraph with 3 nodes and 2 edges,missile,surface,:destination,,,,,,,
129,1,553,"If I remember correctly, he lost.","[{'PER': 'I'}, {'PER': 'he'}]",DiGraph with 6 nodes and 5 edges,lose-03,remember-01,:condition,,,,,,,
130,1,562,That's a really big fish.,[{'B_animal': 'fish'}],DiGraph with 4 nodes and 3 edges,fish,big,:mod,,,,,,,
131,1,563,The earthquake occurred in Indonesia's remote eastern province of Papua.,"[{'LOC': 'Indonesia'}, {'LOC': 'Papua'}]",DiGraph with 12 nodes and 11 edges,east,remote,:mod,,,,,,,
132,1,567,"It rained, so we postponed the game.",[{'PER': 'we'}],DiGraph with 5 nodes and 4 edges,rain-01,cause-01,:ARG0-of,,,,,,,
133,1,570,I'm sick too.,[],DiGraph with 3 nodes and 2 edges,sick-05,too,:mod,,,,,,,
134,1,576,He found something else.,[{'PER': 'He'}],DiGraph with 4 nodes and 3 edges,something,else,:mod,,,,,,,
135,1,577,Everybody else had already left.,[],DiGraph with 4 nodes and 3 edges,everybody,else,:mod,,,,,,,
136,1,578,We insist that you adhere to the contract or else we will sue you.,"[{'PER': 'We'}, {'PER': 'you'}, {'PER': 'we'}, {'PER': 'you'}]",DiGraph with 12 nodes and 11 edges,sue-02,have-polarity-91,:condition,,,,,,,
137,1,579,"There was another fire alarm, but I had to leave anyway.",[{'PER': 'I'}],DiGraph with 7 nodes and 6 edges,obligate-01,anyway,:mod,,,,,,,
138,1,580,"Anyway, I have to leave now.",[{'PER': 'I'}],DiGraph with 5 nodes and 4 edges,obligate-01,anyway,:mod,,,,,,,
139,1,582,Call 911 if he comes back anyway.,[{'PER': 'he'}],DiGraph with 7 nodes and 6 edges,call-02,return-01,:condition,,,,,,,
140,1,594,Jimbo's football team,"[{'PER': 'Jim'}, {'PER': 'bo'}]",DiGraph with 6 nodes and 5 edges,team,football,:mod,,,,,,,
141,1,599,"As shown in Table 5, accuracy improves with the amount of training data.",[],DiGraph with 8 nodes and 7 edges,table,5,:mod,,,,,,,
142,1,600,We treated CHO-K1 cells with HRG ligand to induce maximal ERBB3 phosphorylation (Fig. 6a).,"[{'MISC': 'CH'}, {'MISC': 'ERBB'}, {'PER': 'We'}]",DiGraph with 22 nodes and 21 edges,figure,"""6a""",:mod,,,,,,,
143,1,602,"The protein can then be deacetylated. (Tsai et al., 2002)","[{'PER': 'T'}, {'PER': 'sai'}]",DiGraph with 15 nodes and 14 edges,person,other,:mod,,,,,,,
144,1,609,Police seized 50 pounds of heroin as well as two machine guns.,[],DiGraph with 10 nodes and 9 edges,gun,machine,:mod,,,,,,,
145,1,611,The first snowfall came as early as November 10.,[],DiGraph with 8 nodes and 7 edges,date-entity,early,:mod,,,,,,,
146,1,614,"As far as the CEO is concerned, he is the best at everything.","[{'B_human': 'CEO'}, {'PER': 'he'}]",DiGraph with 10 nodes and 9 edges,officer,chief,:mod,,,,,,,
147,1,614,"As far as the CEO is concerned, he is the best at everything.","[{'B_human': 'CEO'}, {'PER': 'he'}]",DiGraph with 10 nodes and 9 edges,officer,executive,:mod,,,,,,,
148,1,619,"The bicycle cost as much as $5,000.",[],DiGraph with 6 nodes and 5 edges,monetary-quantity,much,:mod,,,,,,,
149,1,624,Jerry visited all countries except Cuba.,"[{'PER': 'Jerry'}, {'LOC': 'Cuba'}]",DiGraph with 12 nodes and 11 edges,country,all,:mod,,,,,,,
150,1,625,I solved the math problem on my own.,[{'PER': 'I'}],DiGraph with 5 nodes and 4 edges,solve-01,by-oneself,:mod,,,,,,,
151,1,626,I solved the software problem by myself.,[{'PER': 'I'}],DiGraph with 5 nodes and 4 edges,solve-01,by-oneself,:mod,,,,,,,
152,1,628,All buildings within a mile of the explosion were damaged.,[],DiGraph with 9 nodes and 8 edges,building,all,:mod,,,,,,,
153,1,635,The energy will be supplied through wind turbines.,[],DiGraph with 4 nodes and 3 edges,turbine,wind,:mod,,,,,,,
154,1,640,This book is less expensive.,[],DiGraph with 5 nodes and 4 edges,book,this,:mod,,,,,,,
155,1,646,"When she arrived, he was still asleep.","[{'PER': 'she'}, {'PER': 'he'}]",DiGraph with 5 nodes and 4 edges,sleep-01,still,:mod,,,,,,,
156,1,647,"When all else fails, I use superglue.",[{'PER': 'I'}],DiGraph with 6 nodes and 5 edges,all,else,:mod,,,,,,,
157,1,647,"When all else fails, I use superglue.",[{'PER': 'I'}],DiGraph with 6 nodes and 5 edges,use-01,fail-01,:condition,,,,,,,
158,1,650,The drug has serious side effects.,[],DiGraph with 5 nodes and 4 edges,event,side,:mod,,,,,,,
159,1,652,Solutions with a pH less than 7 are said to be acidic.,[],DiGraph with 7 nodes and 6 edges,solution,less-than,:mod,,,,,,,
160,1,657,"The Japanese town bombed in 1945 was recently hit by deadly waves, causing devastating destruction.",[{'MISC': 'Japanese'}],DiGraph with 15 nodes and 14 edges,hit-01,cause-01,:ARG0-of,,,,,,,
161,1,664,"A 7.8 earthquake struck eastern Iran, killing 40 people in the village of Hiduj, severely damaging many of its buildings, and triggering an international aid response.","[{'LOC': 'Iran'}, {'LOC': 'Hiduj'}]",DiGraph with 26 nodes and 25 edges,respond-01,international,:mod,,,,,,,
162,1,676,I oppose weapons intended for killing other humans.,"[{'B_animal': 'humans'}, {'PER': 'I'}]",DiGraph with 7 nodes and 6 edges,human,other,:mod,,,,,,,
163,1,687,"For their honeymoon, the couple flew first class to Hawaii.","[{'LOC': 'Hawaii'}, {'B_human': 'couple'}]",DiGraph with 11 nodes and 10 edges,fly-01,state,:destination,,,,,,,
164,1,688,Biking to work kills two birds with one stone: it saves money and will help to lose weight.,[{'B_animal': 'birds'}],DiGraph with 11 nodes and 10 edges,bike-01,work-01,:destination,,,,,,,
165,1,691,"John, please -- there are children in the audience.","[{'PER': 'John'}, {'B_human': 'children'}]",DiGraph with 10 nodes and 9 edges,reasonable-02,cause-01,:ARG1-of,,,,,,,
166,1,696,former U.S. Deputy Secretary of Defense Paul Wolfowitz,"[{'LOC': 'U.S.'}, {'ORG': 'Defense'}, {'PER': 'Paul Wolfowitz'}, {'PER': 'US'}]",DiGraph with 13 nodes and 12 edges,secretary,deputy,:mod,,,,,,,
167,1,697,a big car,[],DiGraph with 2 nodes and 1 edges,car,big,:mod,,,,,,,
168,1,698,"John Smith, 30, blond, blue eyes, 6'2, 200 lbs.",[{'PER': 'John Smith'}],DiGraph with 22 nodes and 21 edges,person,blonde,:mod,,,,,,,
169,1,698,"John Smith, 30, blond, blue eyes, 6'2, 200 lbs.",[{'PER': 'John Smith'}],DiGraph with 22 nodes and 21 edges,person,tall,:mod,,,,,,,
170,1,698,"John Smith, 30, blond, blue eyes, 6'2, 200 lbs.",[{'PER': 'John Smith'}],DiGraph with 22 nodes and 21 edges,eye,blue,:mod,,,,,,,
171,1,698,"John Smith, 30, blond, blue eyes, 6'2, 200 lbs.",[{'PER': 'John Smith'}],DiGraph with 22 nodes and 21 edges,person,eye,:part,,,,,,,
172,1,701,USC CS Assistant Professor Wyatt LLoyd,"[{'ORG': 'USC CS'}, {'PER': 'Wyatt LL'}]",DiGraph with 13 nodes and 12 edges,professor,assistant,:mod,,,,,,,
