,file,sent_i,sent,ne_info,amr_prints,amr_graph,amr_head_name,amr_tail_name,amr_role,umr_head_name,umr_tail_name,umr_role,amr_head_id,umr_head_id,amr_tail_id,umr_tail_id,animacy,y_guess,y_guess_dist,y_pred
10,AMR to UMR targerted conversion split roles - Graphs.csv,11,The old man died of lung cancer .,[{'B_human': 'man'}],"


(d / die-01
      :ARG1 (m / man
            :mod (o / old))
      :ARG1-of (c / cause-01
            :ARG0 (d2 / disease :wiki ""Lung_cancer""
                  :name (n / name :op1 ""lung"" :op2 ""cancer""))))",DiGraph with 9 nodes and 9 edges,man,old,:mod,man,old,:mod,m_4,s12m_3,o_5,s12o_4,inanimate,"[':mod', ':other-role']","[0.995, 0.005]","[':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod']"
11,AMR to UMR targerted conversion split roles - Graphs.csv,12,The match has been canceled due to the rain.,[],"


(c / cancel-01
      :ARG1 (m / match-03)
      :ARG1-of (c2 / cause-01
            :ARG0 (r / rain-01)))",DiGraph with 4 nodes and 4 edges,cancel-01,cause-01,:ARG1-of,cancel-01,rain-01,:cause,c_3,s13r_4,c2_5,s13c_2,inanimate,"[':cause', ':reason']","[0.9, 0.1]","[':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':reason', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':reason']"
12,AMR to UMR targerted conversion split roles - Graphs.csv,12,The match has been canceled due to the rain.,[],"


(c / cancel-01
      :ARG1 (m / match-03)
      :ARG1-of (c2 / cause-01
            :ARG0 (r / rain-01)))",DiGraph with 4 nodes and 4 edges,cancel-01,cause-01,:ARG1-of,cancel-01,rain-01,:cause,c_3,s13r_4,c2_5,s13c_2,inanimate,"[':cause', ':reason']","[0.9, 0.1]","[':cause', ':cause', ':cause', ':reason', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':reason', ':cause', ':cause', ':cause', ':reason', ':cause', ':cause', ':reason']"
13,AMR to UMR targerted conversion split roles - Graphs.csv,13,He was injured and therefore unable to play.,[{'PER': 'He'}],"


(i / injure-01
      :ARG1 (h / he)
      :ARG0-of (c / cause-01
            :ARG1 (p / possible-01 :polarity -
                  :ARG1 (p2 / play-01
                        :ARG0 h))))",DiGraph with 7 nodes and 7 edges,injure-01,cause-01,:ARG0-of,injure-01,possible-01,:cause,i_3,s14p_6,c_5,s14i2_2,inanimate,"[':cause', ':reason']","[0.9, 0.1]","[':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':reason', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause']"
14,AMR to UMR targerted conversion split roles - Graphs.csv,13,He was injured and therefore unable to play.,[{'PER': 'He'}],"


(i / injure-01
      :ARG1 (h / he)
      :ARG0-of (c / cause-01
            :ARG1 (p / possible-01 :polarity -
                  :ARG1 (p2 / play-01
                        :ARG0 h))))",DiGraph with 7 nodes and 7 edges,injure-01,cause-01,:ARG0-of,injure-01,possible-01,:cause,i_3,s14p_6,c_5,s14i2_2,inanimate,"[':cause', ':reason']","[0.9, 0.1]","[':cause', ':cause', ':reason', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause']"
15,AMR to UMR targerted conversion split roles - Graphs.csv,14,"I can't do work at home, because she shouts at me.","[{'PER': 'I'}, {'PER': 'she'}, {'PER': 'me'}]","


(p / possible-01 :polarity -
      :ARG1 (w / work-01
            :ARG0 (i / i)
            :location (h / home))
      :ARG1-of (c / cause-01
            :ARG0 (s / shout-01
                  :ARG0 (s2 / she)
                  :ARG2 i)))",DiGraph with 8 nodes and 8 edges,possible-01 :polarity -,cause-01,:ARG1-of,possible-01,shout-01,:reason,p_3,s15s_9,c_7,s15p_2,animate,[':reason'],[1.0],"[':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason']"
16,AMR to UMR targerted conversion split roles - Graphs.csv,14,"I can't do work at home, because she shouts at me.","[{'PER': 'I'}, {'PER': 'she'}, {'PER': 'me'}]","


(p / possible-01 :polarity -
      :ARG1 (w / work-01
            :ARG0 (i / i)
            :location (h / home))
      :ARG1-of (c / cause-01
            :ARG0 (s / shout-01
                  :ARG0 (s2 / she)
                  :ARG2 i)))",DiGraph with 8 nodes and 8 edges,possible-01 :polarity -,cause-01,:ARG1-of,possible-01,shout-01,:reason,p_3,s15s_9,c_7,s15p_2,animate,[':reason'],[1.0],"[':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason']"
17,AMR to UMR targerted conversion split roles - Graphs.csv,15,The hospital has been vacated due to extensive damage.,[],"


(v / vacate-01
      :ARG1 (h / hospital)
      :ARG1-of (c / cause-01
            :ARG0 (d / damage-01
                  :ARG1-of (e / extensive-03))))",DiGraph with 5 nodes and 5 edges,vacate-01,cause-01,:ARG1-of,vacate-01,damage-01,:cause,v_3,s16d_4,c_5,s16v_2,inanimate,"[':cause', ':reason']","[0.9, 0.1]","[':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':reason', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause']"
18,AMR to UMR targerted conversion split roles - Graphs.csv,15,The hospital has been vacated due to extensive damage.,[],"


(v / vacate-01
      :ARG1 (h / hospital)
      :ARG1-of (c / cause-01
            :ARG0 (d / damage-01
                  :ARG1-of (e / extensive-03))))",DiGraph with 5 nodes and 5 edges,vacate-01,cause-01,:ARG1-of,vacate-01,damage-01,:cause,v_3,s16d_4,c_5,s16v_2,inanimate,"[':cause', ':reason']","[0.9, 0.1]","[':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':reason', ':cause']"
19,AMR to UMR targerted conversion split roles - Graphs.csv,17,Scores of people drowned when the boat sank.,[],"


(d / drown-02
      :ARG1 (p / person
            :quant (m / multiple :op1 20))
      :ARG1-of (c / cause-01
            :ARG0 (s / sink-01
                  :ARG1 (b / boat))))",DiGraph with 7 nodes and 7 edges,drown-02,cause-01,:ARG1-of,drown-02,sink-01,:cause,d_3,s18s_6,c_7,s18d_2,inanimate,"[':cause', ':reason']","[0.9, 0.1]","[':cause', ':reason', ':cause', ':cause', ':cause', ':cause', ':reason', ':cause', ':reason', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':reason']"
20,AMR to UMR targerted conversion split roles - Graphs.csv,17,Scores of people drowned when the boat sank.,[],"


(d / drown-02
      :ARG1 (p / person
            :quant (m / multiple :op1 20))
      :ARG1-of (c / cause-01
            :ARG0 (s / sink-01
                  :ARG1 (b / boat))))",DiGraph with 7 nodes and 7 edges,drown-02,cause-01,:ARG1-of,drown-02,sink-01,:cause,d_3,s18s_6,c_7,s18d_2,inanimate,"[':cause', ':reason']","[0.9, 0.1]","[':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':reason', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause']"
21,AMR to UMR targerted conversion split roles - Graphs.csv,18,I must stop now as the shuttle leaves in 10 minutes.,[{'PER': 'I'}],"


(o / obligate-01
      :ARG2 (s / stop-01
            :ARG0 (i / i)
            :time (n / now))
      :ARG1-of (c / cause-01
            :ARG0 (l / leave-11
                  :ARG0 (s2 / shuttle)
                  :time (a / after
                        :op1 (n2 / now)
                        :quant (t / temporal-quantity :quant 10
                              :unit (m / minute))))))",DiGraph with 12 nodes and 12 edges,obligate-01,cause-01,:ARG1-of,obligate-01,leave-11,:Cause-of,o_3,s19l_8,c_7,s19o_2,inanimate,"[':cause', ':reason']","[0.9, 0.1]","[':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':reason', ':cause', ':cause', ':cause', ':cause', ':reason', ':cause', ':reason', ':cause', ':cause', ':cause']"
22,AMR to UMR targerted conversion split roles - Graphs.csv,18,I must stop now as the shuttle leaves in 10 minutes.,[{'PER': 'I'}],"


(o / obligate-01
      :ARG2 (s / stop-01
            :ARG0 (i / i)
            :time (n / now))
      :ARG1-of (c / cause-01
            :ARG0 (l / leave-11
                  :ARG0 (s2 / shuttle)
                  :time (a / after
                        :op1 (n2 / now)
                        :quant (t / temporal-quantity :quant 10
                              :unit (m / minute))))))",DiGraph with 12 nodes and 12 edges,obligate-01,cause-01,:ARG1-of,obligate-01,leave-11,:Cause-of,o_3,s19l_8,c_7,s19o_2,inanimate,"[':cause', ':reason']","[0.9, 0.1]","[':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause']"
23,AMR to UMR targerted conversion split roles - Graphs.csv,19,"John, please -- there are children in the audience.","[{'PER': 'John'}, {'B_human': 'children'}]","


(r / reasonable-02 :mode imperative :polite +
      :ARG1 (p / person :wiki - :name (n / name :op1 ""John""))
      :ARG1-of (c / cause-01
            :ARG0 (i / include-91
                  :ARG1 (c2 / child)
                  :ARG2 (a / audience))))",DiGraph with 10 nodes and 10 edges,reasonable-02,cause-01,:ARG1-of,reasonable-02,audience,:reason,r_3,s20a_6,c_9,s20r_1,animate,[':reason'],[1.0],"[':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason']"
24,AMR to UMR targerted conversion split roles - Graphs.csv,19,"John, please -- there are children in the audience.","[{'PER': 'John'}, {'B_human': 'children'}]","


(r / reasonable-02 :mode imperative :polite +
      :ARG1 (p / person :wiki - :name (n / name :op1 ""John""))
      :ARG1-of (c / cause-01
            :ARG0 (i / include-91
                  :ARG1 (c2 / child)
                  :ARG2 (a / audience))))",DiGraph with 10 nodes and 10 edges,reasonable-02,cause-01,:ARG1-of,reasonable-02,audience,:reason,r_3,s20a_6,c_9,s20r_1,animate,[':reason'],[1.0],"[':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason', ':reason']"
25,AMR to UMR targerted conversion split roles - Graphs.csv,20,She divorced him in part due to his alcoholism.,"[{'PER': 'She'}, {'PER': 'him'}]","


(d / divorce-01
      :ARG0 (s / she)
      :ARG1 (h / he)
      :ARG1-of (c / cause-01
            :ARG0 (a / alcoholic
                  :domain h)
            :degree (p / part)))",DiGraph with 7 nodes and 7 edges,divorce-01,cause-01,:ARG1-of,divorce-02,alcoholism,:reason,d_3,s21a_9,c_6,s21d_2,inanimate,"[':cause', ':reason']","[0.9, 0.1]","[':cause', ':cause', ':reason', ':cause', ':cause', ':cause', ':cause', ':cause', ':reason', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause']"
26,AMR to UMR targerted conversion split roles - Graphs.csv,20,She divorced him in part due to his alcoholism.,"[{'PER': 'She'}, {'PER': 'him'}]","


(d / divorce-01
      :ARG0 (s / she)
      :ARG1 (h / he)
      :ARG1-of (c / cause-01
            :ARG0 (a / alcoholic
                  :domain h)
            :degree (p / part)))",DiGraph with 7 nodes and 7 edges,divorce-01,cause-01,:ARG1-of,divorce-02,alcoholism,:reason,d_3,s21a_9,c_6,s21d_2,inanimate,"[':cause', ':reason']","[0.9, 0.1]","[':reason', ':reason', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':reason', ':cause', ':cause', ':cause', ':reason', ':cause', ':cause', ':cause', ':cause', ':cause']"
27,AMR to UMR targerted conversion split roles - Graphs.csv,21,I saw a cloud of dust .,[{'PER': 'I'}],"


(s / see-01
      :ARG0 (i / i)
      :ARG1 (c / cloud
            :consist-of (d / dust)))",DiGraph with 4 nodes and 4 edges,cloud,dust,:consist-of,cloud,dust,:material,c_5,s32c_6,d_6,s32d_7,inanimate,"[':group', ':part', ':material']","[0.1, 0.1, 0.8]","[':material', ':part', ':material', ':part', ':material', ':material', ':material', ':material', ':group', ':material', ':part', ':material', ':material', ':material', ':material', ':material', ':material', ':group', ':material', ':group']"
28,AMR to UMR targerted conversion split roles - Graphs.csv,23,a ring of gold,[],"


(r / ring
      :consist-of (g / gold))",DiGraph with 2 nodes and 2 edges,ring,gold,:consist-of,ring,gold,:material,r_3,s34r_3,g_4,s34g_4,inanimate,"[':group', ':part', ':material']","[0.1, 0.1, 0.8]","[':group', ':material', ':material', ':material', ':group', ':group', ':material', ':group', ':material', ':part', ':material', ':material', ':material', ':group', ':material', ':material', ':material', ':material', ':material', ':material']"
29,AMR to UMR targerted conversion split roles - Graphs.csv,24,The children's choir sang beautifully.,[],"


(s / sing-01
      :ARG0 (c / choir
            :consist-of (c2 / child))
      :ARG1-of (b / beautiful-02))",DiGraph with 4 nodes and 4 edges,choir,child,:consist-of,choir,child,:group,c_4,s35c_3,c2_5,s35c2_4,animate,[':group'],[1.0],"[':group', ':group', ':group', ':group', ':group', ':group', ':group', ':group', ':group', ':group', ':group', ':group', ':group', ':group', ':group', ':group', ':group', ':group', ':group', ':group']"
30,AMR to UMR targerted conversion split roles - Graphs.csv,25,the eXchanger Inhibitory Peptide (XIP) region (residues 251-271) of NCX1,"[{'MISC': 'e'}, {'MISC': 'In'}, {'MISC': 'ory Peptide'}, {'MISC': 'NC'}]","


(p / protein-segment :wiki - :name (n / name :op1 ""eXchanger"" :op2 ""Inhibitory"" :op3 ""Peptide"")
      :consist-of (r / residue
            :mod (v / value-interval :op1 251 :op2 271)
            :part-of (p2 / protein :wiki ""Sodium-calcium_exchanger"" :name (n2 / name :op1 ""NCX1""))))",DiGraph with 13 nodes and 13 edges,protein-segment,residue,:consist-of,protein-segment,residue,:Material-of,p_3,s36p_2,r_9,s36r_7,inanimate,"[':group', ':part', ':material']","[0.1, 0.1, 0.8]","[':material', ':material', ':material', ':material', ':material', ':material', ':part', ':part', ':material', ':part', ':material', ':material', ':material', ':part', ':material', ':material', ':material', ':part', ':part', ':material']"
31,AMR to UMR targerted conversion split roles - Graphs.csv,26,"Workers described `` clouds of blue dust '' that hung over parts of the factory , even though exhaust fans ventilated the area .",[{'B_human': 'Workers'}],"


(d / describe-01
      :ARG0 (p / person
            :ARG0-of (w / work-01))
      :ARG1 (c3 / cloud
            :consist-of (d3 / dust
                  :mod (b2 / blue))
            :ARG1-of (h / hang-01
                  :location (o / over
                        :op1 (t / thing
                              :part-of (f / factory)))
                  :concession (v / ventilate-01
                        :ARG0 (f2 / fan
                              :mod (e / exhaust))
                        :ARG1 (a / area)))))",DiGraph with 14 nodes and 14 edges,cloud,dust,:consist-of,cloud-01,dust,:material,c3_6,s37c_4,d3_7,s37d2_5,inanimate,"[':group', ':part', ':material']","[0.1, 0.1, 0.8]","[':material', ':material', ':material', ':material', ':material', ':material', ':material', ':material', ':material', ':material', ':material', ':group', ':material', ':group', ':material', ':material', ':part', ':part', ':material', ':material']"
32,AMR to UMR targerted conversion split roles - Graphs.csv,26,"Workers described `` clouds of blue dust '' that hung over parts of the factory , even though exhaust fans ventilated the area .",[{'B_human': 'Workers'}],"


(d / describe-01
      :ARG0 (p / person
            :ARG0-of (w / work-01))
      :ARG1 (c3 / cloud
            :consist-of (d3 / dust
                  :mod (b2 / blue))
            :ARG1-of (h / hang-01
                  :location (o / over
                        :op1 (t / thing
                              :part-of (f / factory)))
                  :concession (v / ventilate-01
                        :ARG0 (f2 / fan
                              :mod (e / exhaust))
                        :ARG1 (a / area)))))",DiGraph with 14 nodes and 14 edges,dust,blue,:mod,dust,blue,:mod,d3_7,s37d2_5,b2_8,s37b_6,inanimate,"[':mod', ':other-role']","[0.995, 0.005]","[':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod']"
33,AMR to UMR targerted conversion split roles - Graphs.csv,27,"Rush, Levin, Hannity, Savage etc all said Romney was the conservative candidate.","[{'PER': 'Rush'}, {'PER': 'Levin'}, {'PER': 'Hannity'}, {'PER': 'Savage'}, {'PER': 'Romney'}, {'B_human': 'candidate'}]","


(s / say-01
      :ARG0 (a / all
            :consist-of (a2 / and
                  :op1 (p2 / person :wiki ""Rush_Limbaugh""
                        :name (n2 / name :op1 ""Rush""))
                  :op2 (p3 / person :wiki ""Mark_Levin""
                        :name (n3 / name :op1 ""Levin""))
                  :op3 (p4 / person :wiki ""Sean_Hannity""
                        :name (n4 / name :op1 ""Hannity""))
                  :op4 (p5 / person :wiki ""Michael_Savage""
                        :name (n5 / name :op1 ""Savage""))
                  :op5 (e / et-cetera)))
      :ARG1 (c / candidate
            :mod (c2 / conservative)
            :domain (p / person :wiki ""Mitt_Romney""
                  :name (n / name :op1 ""Romney""))))",DiGraph with 26 nodes and 26 edges,candidate,conservative,:mod,candidate,conservative,:mod,c_23,s38c_3,c2_24,s38c2_6,inanimate,"[':mod', ':other-role']","[0.995, 0.005]","[':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod']"
34,AMR to UMR targerted conversion split roles - Graphs.csv,28,"South Koreans rallied on January 11, 2002 in support of their right to eat dog meat.","[{'MISC': 'South Koreans'}, {'B_animal': 'dog'}]","

(r / rally-01
      :ARG1 (p / person
            :source (c / country :wiki ""South_Korea"" :name (n / name :op1 ""South"" :op2 ""Korea"")))
      :ARG2 (s / support-01
            :ARG0 p
            :ARG1 (r2 / right-05
                  :ARG1 p
                  :ARG2 (e / eat-01
                        :ARG0 p
                        :ARG1 (m / meat
                              :consist-of (d2 / dog)))))
      :time (d / date-entity :year 2002 :month 1 :day 11))",DiGraph with 19 nodes and 19 edges,person,country,:source,person,country,:group,p_3,s39p_3,c_4,s39c_4,inanimate,"[':material', ':source', ':start']","[0.1, 0.6, 0.3]","[':source', ':material', ':material', ':start', ':start', ':source', ':start', ':start', ':source', ':material', ':source', ':source', ':start', ':source', ':start', ':source', ':start', ':source', ':source', ':source']"
35,AMR to UMR targerted conversion split roles - Graphs.csv,29,Religious extremism continues in Pakistan despite the banning of militant groups.,[{'LOC': 'Pakistan'}],"


(c / continue-01
      :ARG1 (e / extremism
            :mod (r / religion))
      :location (c2 / country :wiki ""Pakistan""
            :name (n / name :op1 ""Pakistan""))
      :concession (b / ban-01
            :ARG1 (g / group
                  :consist-of (m / militant))))",DiGraph with 10 nodes and 10 edges,extremism,religion,:mod,extremism,religion,:mod,e_4,s40e_3,r_5,s40r_4,inanimate,"[':mod', ':other-role']","[0.995, 0.005]","[':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod', ':mod']"
36,AMR to UMR targerted conversion split roles - Graphs.csv,30,They will focus on the import of cheap chemical drugs made in Thailand.,"[{'LOC': 'Thailand'}, {'PER': 'They'}]","


(f / focus-01
      :ARG0 (t / they)
      :ARG1 (i / import-01
            :ARG1 (d / drug
                  :ARG1-of (c2 / cheap-02)
                  :consist-of (c3 / chemical)
                  :ARG1-of (m / make-01
                        :location (c / country :wiki ""Thailand"" :name (n / name :op1 ""Thailand""))))))",DiGraph with 11 nodes and 11 edges,drug,chemical,:consist-of,drug,chemical,:material,d_6,s41d_7,c3_8,s41c2_9,inanimate,"[':group', ':part', ':material']","[0.1, 0.1, 0.8]","[':material', ':material', ':material', ':material', ':material', ':material', ':material', ':material', ':material', ':material', ':material', ':material', ':part', ':material', ':group', ':material', ':material', ':material', ':material', ':group']"
